Common Name,Specific Name,Binomial Name / Trinomial Name,Kingdom,Phylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Family,Subfamily,Genus,Species,Subspecies,Mammal,Arthropod,Reptile,Amphibian,Endangered,Extinct,Nocturnal,image_01,image_01_source,Description,Wikipedia Link,generic_name,photo_credit
Elephant,African Savanna Elephant,Loxodonta africana,Animalia,Chordata,Mammalia,-,-,-,Proboscidea,-,Elephantidae,-,Loxodonta,africana,-,YES,NO,NO,NO,NO,NO,NO,elephant_african_01,http://commons.wikimedia.org/wiki/File:Addo_Elephants-001_(b).jpg,"The most characteristic features of African elephants are their very large ears, which they use to radiate excess heat, and their trunk, an extension of the upper lip and nose with two opposing extensions at its end, different from the Asian elephant, which only has one. The trunk is used for communication and handling objects and food. African elephants also have bigger tusks, large modified incisors that grow throughout an elephant's lifetime.",http://en.wikipedia.org/wiki/African_Savanna_Elephant,elephant,Leo za1 / © Rute Martins of Leoa's Photography / CC-BY-SA-3.0
Elephant,African Forest Elephant,Loxodonta cyclotis,Animalia,Chordata,Mammalia,-,-,-,Proboscidea,-,Elephantidae,-,Loxodonta,cyclotis,-,YES,NO,NO,NO,NO,NO,NO,elephant_african_02,http://commons.wikimedia.org/wiki/File:Loxodontacyclotis.jpg,"Owing to poaching and the high demand for ivory, the African forest elephant population approached critical levels in the 1990s and early 2000s. Over several decades, numbers are estimated to have fallen from approximately 700,000 to less than 100,000, with about half of the remaining population in Gabon.",http://en.wikipedia.org/wiki/African_forest_elephant,elephant,"Thomas Breuer, with modifications by Lycaon / CC-BY 2.5"
Elephant,Asian Elephant,Elphas maximus,Animalia,Chordata,Mammalia,-,-,-,Proboscidea,-,Elephantidae,-,Elphas,maximus,-,YES,NO,NO,NO,NO,NO,NO,elephant_asian_01,http://commons.wikimedia.org/wiki/File:Asian_elephant_-_melbourne_zoo.jpg,"The Asian Elephant is the only living species of the genus Elephas and is distributed in Southeast Asia from India in the west to Borneo in the east. They are are the largest living land animals in Asia. Since 1986, the Asian Elephant has been listed as endangered, as the population has declined by at least 50% over the last three generations. Female captive elephants have lived beyond 60 years when kept in seminatural situations. In zoos, elephants die at a much younger age.",http://en.wikipedia.org/wiki/Asian_elephant,elephant, Fir0002/Flagstaffotos / GFDL v1.2 / http://www.gnu.org/licenses/fdl-1.2.html
Lion,East African Lion,Panthera leo massaica,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Felidae,-,Panthera,leo,massaica,YES,NO,NO,NO,NO,NO,NO,lion_01,http://commons.wikimedia.org/wiki/File:Lion_in_masai_mara.jpg,"Lions live for 10–14 years in the wild, while in captivity they can live longer than 20 years. In the wild, males seldom live longer than 10 years, as injuries sustained from continual fighting with rival males greatly reduce their longevity. They typically inhabit savanna and grassland, although they may take to bush and forest. Lions are unusually social compared to other cats.",http://en.wikipedia.org/wiki/Lion,lion,Sumit.pamnani at English Wikipedia / public domain
Lion,Katanga Lion,Panthera leo bleyenberghi,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Felidae,-,Panthera,leo,bleyenberghi,YES,NO,NO,NO,NO,NO,NO,lion_02,http://commons.wikimedia.org/wiki/File:Lion_waiting_in_Namibia.jpg,"The Southwest African lion or Katanga lion is a subspecies of the lion that lives in southwestern Africa, where it is found in Namibia, Angola, Zaire, western Zambia, western Zimbabwe and northern Botswana. Like other African lions, they prey mostly on large animals, like zebras, wildebeest, antelope, and warthogs. The males tend to have manes that are lighter in color than lions of other subspecies.",http://en.wikipedia.org/wiki/Katanga_lion,lion,"Originally posted on Flickr at The King, on Wikimedia Commons by yaaaay / CC-BY 2.0"
Lion,Persian Lion,Panthera leo persica,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Felidae,-,Panthera,leo,persica,YES,NO,NO,NO,YES,NO,NO,lion_03,"http://commons.wikimedia.org/wiki/File:Panthera_leo_persica_-Kachchh,_Gujerat,_India_-female-8.jpg","The Asiatic lion, also known as the Indian lion or Persian lion, is a lion subspecies that exists as a single isolated population in India's Gujarat State. It is listed as Endangered based on the small population size. The most striking physical character, which is always seen in Asiatic lions, but rarely in African lions, is a  fold of skin running along its belly. Asiatic lions are slightly smaller than African lions.",http://en.wikipedia.org/wiki/Persian_Lion,lion,"Rupal Vaidya from Ahmedabad, India / CC-BY 2.0"
Tiger,South Chinese Tiger,Panthera tigris amoyensis,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Felidae,Pantherinae,Panthera,tigris,amoyensis,YES,NO,NO,NO,YES,NO,NO,tiger_01,http://commons.wikimedia.org/wiki/File:2012_Suedchinesischer_Tiger.JPG,"The South China tiger is a tiger subspecies that was native to the provinces of Fujian, Guangdong, Hunan, Jiangxi in southern China, and has been classified as critically endangered since 1996 as it is possibly extinct in the wild. There is a small chance that some individuals are still extant.",http://en.wikipedia.org/wiki/South_Chinese_Tiger,tiger,J. Patrick Fischer / CC BY-SA 3.0
Tiger,Corbett's Tiger,Panthera tigris corbetti,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Felidae,Pantherinae,Panthera,tigris,corbetti,YES,NO,NO,NO,YES,NO,NO,tiger_02,http://commons.wikimedia.org/wiki/File:Panthera_tigris_corbetti_01.jpg,"Corbett's tiger is a tiger subspecies found in Myanmar, Thailand, Laos, Cambodia, Vietnam and southwestern China that has been classified as endangered. They live in secluded forests in hilly to mountainous terrain, the majority of which lies along the borders between countries. The subspecies population numbers around a total of 350 individuals.",http://en.wikipedia.org/wiki/Corbetts_Tiger,tiger,H. Zell / CC BY-SA 3.0
Tiger,Siberian Tiger,Panthera tigris altaica,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Felidae,Pantherinae,Panthera,tigris,altaica,YES,NO,NO,NO,YES,NO,NO,tiger_03,http://commons.wikimedia.org/wiki/File:P.t.altaica_Tomak_Male.jpg,"The Siberian tiger is a tiger subspecies inhabiting mainly mountainous regions in Russia's far east. It is the largest living felid and ranks among the biggest felids to ever exist. A sampling of 95 wild Russian tigers found low genetic diversity, with the effective population size extraordinarily low in comparison to the census population size, with the population behaving as if it were just 27–35 individuals. ",http://en.wikipedia.org/wiki/Siberian_tiger,tiger, Appaloosa / CC BY-SA 3.0
Giraffe,Angolan Giraffe,Giraffa camelopardalis angolensis,Animalia,Chordata,Mammalia,-,-,-,Artiodactyla,-,Giraffidae,-,Giraffa,camelopardalis,angolensis,YES,NO,NO,NO,NO,NO,NO,giraffe_01,http://commons.wikimedia.org/wiki/File:Namibie_Etosha_Girafe_02.jpg,"The Angolan giraffe can be found in desert environments. Giraffes browse on the twigs of trees, preferring trees of genera Acacia, Commiphora and Terminalia, which are important sources of calcium and protein to sustain the giraffe's growth rate. They also feed on shrubs, grass and fruit. A giraffe eats around 34 kg (75 lb) of foliage daily.",http://en.wikipedia.org/wiki/Giraffe,giraffe,Photographie prise par GIRAUD Patrick / GFDL
